Enter Stubhub password: SUCCESS | Generated Basic Authorization Token: WktNUnROX1RBMndPZnhqMERHSU1QdjhkMm8wYTpJYTREVE5KVXN2cV85VGxWblZ1cmhfUVpSTUVh
LocationSearch | Pulled Full Event Information for San Francisco / Oakland (25 mi) on 2017-03-06. Time/apiCall: 0:42:41.492545. Mongo Collection Size: 42655
LocationSearch | 1/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772]]
LocationSearch | Searching for events around lat:34.042929, lon:-118.25996, radius:25, name:Los Angeles (25 mi)
SUCCESS | Event query performed. Args: Lat: 34.042929. Lon: -118.25996. Radius: 25. Units: mi. API Calls: 6. Events Returned: 2859.
LocationSearch | Location search returned 2859 events.
addEventInfoByVenue | Kept 818/2859 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 818 observations. Time: 1:25:54.820350. apiCall:
LocationSearch | Pulled Full Event Information for Los Angeles (25 mi) on 2017-03-06. Time/apiCall: 0:41:36.971319. Mongo Collection Size: 43473
LocationSearch | 2/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001]]
LocationSearch | Searching for events around lat:32.777648, lon:-117.176551, radius:15, name:Orange Country (15 mi)
SUCCESS | Event query performed. Args: Lat: 32.777648. Lon: -117.176551. Radius: 15. Units: mi. API Calls: 2. Events Returned: 831.
LocationSearch | Location search returned 831 events.
addEventInfoByVenue | Kept 60/831 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 60 observations. Time: 0:06:19.185253. apiCall:
LocationSearch | Pulled Full Event Information for Orange Country (15 mi) on 2017-03-06. Time/apiCall: 0:41:08.164486. Mongo Collection Size: 43533
LocationSearch | 3/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001], [32.777647999999999, -117.176551]]
LocationSearch | Searching for events around lat:32.746021, lon:-117.165925, radius:15, name:San Diego (15 mi)
SUCCESS | Event query performed. Args: Lat: 32.746021. Lon: -117.165925. Radius: 15. Units: mi. API Calls: 2. Events Returned: 855.
LocationSearch | Location search returned 855 events.
addEventInfoByVenue | Kept 67/855 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 67 observations. Time: 0:06:59.904284. apiCall:
LocationSearch | Pulled Full Event Information for San Diego (15 mi) on 2017-03-06. Time/apiCall: 0:40:40.322042. Mongo Collection Size: 43600
LocationSearch | 4/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001], [32.777647999999999, -117.176551], [32.746020999999999, -117.165925]]
LocationSearch | Searching for events around lat:40.744255, lon:-73.986714, radius:10, name:New York (10 mi)
SUCCESS | Event query performed. Args: Lat: 40.744255. Lon: -73.986714. Radius: 10. Units: mi. API Calls: 15. Events Returned: 7500.
LocationSearch | Location search returned 7500 events.
addEventInfoByVenue | Kept 0/7500 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 0 observations. Time: 0:00:00.142095. apiCall:
LocationSearch | Pulled Full Event Information for New York (10 mi) on 2017-03-06. Time/apiCall: 0:37:01.231367. Mongo Collection Size: 43600
LocationSearch | 5/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001], [32.777647999999999, -117.176551], [32.746020999999999, -117.165925], [40.744254999999995, -73.986714000000006]]
SLEEP | Searched all locations for today. Sleeping for 6 hours... Start Time: 2017-03-06 07:18:34.390920
LocationSerch | Searching through locations: ['San Francisco / Oakland (25 mi)', 'Los Angeles (25 mi)', 'Orange Country (15 mi)', 'San Diego (15 mi)', 'New York (10 mi)']
WARNING | Location: 37.813552,-122.369772,25 already scraped on 2017-03-06. Skipping.
WARNING | Location: 34.042929,-118.25996,25 already scraped on 2017-03-06. Skipping.
WARNING | Location: 32.777648,-117.176551,15 already scraped on 2017-03-06. Skipping.
WARNING | Location: 32.746021,-117.165925,15 already scraped on 2017-03-06. Skipping.
WARNING | Location: 40.744255,-73.986714,10 already scraped on 2017-03-06. Skipping.
SLEEP | Searched all locations for today. Sleeping for 6 hours... Start Time: 2017-03-06 13:18:34.487198
LocationSerch | Searching through locations: ['San Francisco / Oakland (25 mi)', 'Los Angeles (25 mi)', 'Orange Country (15 mi)', 'San Diego (15 mi)', 'New York (10 mi)']
WARNING | Location: 37.813552,-122.369772,25 already scraped on 2017-03-06. Skipping.
WARNING | Location: 34.042929,-118.25996,25 already scraped on 2017-03-06. Skipping.
WARNING | Location: 32.777648,-117.176551,15 already scraped on 2017-03-06. Skipping.
WARNING | Location: 32.746021,-117.165925,15 already scraped on 2017-03-06. Skipping.
WARNING | Location: 40.744255,-73.986714,10 already scraped on 2017-03-06. Skipping.
SLEEP | Searched all locations for today. Sleeping for 6 hours... Start Time: 2017-03-06 19:18:34.583349
LocationSerch | Searching through locations: ['San Francisco / Oakland (25 mi)', 'Los Angeles (25 mi)', 'Orange Country (15 mi)', 'San Diego (15 mi)', 'New York (10 mi)']
LocationSearch | Searching for events around lat:37.813552, lon:-122.369772, radius:25, name:San Francisco / Oakland (25 mi)
SUCCESS | Event query performed. Args: Lat: 37.813552. Lon: -122.369772. Radius: 25. Units: mi. API Calls: 4. Events Returned: 1868.
LocationSearch | Location search returned 1868 events.
addEventInfoByVenue | Kept 896/1868 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 896 observations. Time: 1:34:39.076212. apiCall:
LocationSearch | Pulled Full Event Information for San Francisco / Oakland (25 mi) on 2017-03-07. Time/apiCall: 0:42:39.729076. Mongo Collection Size: 44496
LocationSearch | 1/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772]]
LocationSearch | Searching for events around lat:34.042929, lon:-118.25996, radius:25, name:Los Angeles (25 mi)
SUCCESS | Event query performed. Args: Lat: 34.042929. Lon: -118.25996. Radius: 25. Units: mi. API Calls: 6. Events Returned: 2867.
LocationSearch | Location search returned 2867 events.
addEventInfoByVenue | Kept 780/2867 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 780 observations. Time: 1:21:54.219736. apiCall:
LocationSearch | Pulled Full Event Information for Los Angeles (25 mi) on 2017-03-07. Time/apiCall: 0:41:44.273483. Mongo Collection Size: 45276
LocationSearch | 2/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001]]
LocationSearch | Searching for events around lat:32.777648, lon:-117.176551, radius:15, name:Orange Country (15 mi)
SUCCESS | Event query performed. Args: Lat: 32.777648. Lon: -117.176551. Radius: 15. Units: mi. API Calls: 2. Events Returned: 831.
LocationSearch | Location search returned 831 events.
addEventInfoByVenue | Kept 63/831 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 63 observations. Time: 0:06:34.703058. apiCall:
LocationSearch | Pulled Full Event Information for Orange Country (15 mi) on 2017-03-07. Time/apiCall: 0:41:20.018971. Mongo Collection Size: 45339
LocationSearch | 3/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001], [32.777647999999999, -117.176551]]
LocationSearch | Searching for events around lat:32.746021, lon:-117.165925, radius:15, name:San Diego (15 mi)
SUCCESS | Event query performed. Args: Lat: 32.746021. Lon: -117.165925. Radius: 15. Units: mi. API Calls: 2. Events Returned: 856.
LocationSearch | Location search returned 856 events.
addEventInfoByVenue | Kept 65/856 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 65 observations. Time: 0:06:45.772015. apiCall:
LocationSearch | Pulled Full Event Information for San Diego (15 mi) on 2017-03-07. Time/apiCall: 0:40:56.327421. Mongo Collection Size: 45404
LocationSearch | 4/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001], [32.777647999999999, -117.176551], [32.746020999999999, -117.165925]]
LocationSearch | Searching for events around lat:40.744255, lon:-73.986714, radius:10, name:New York (10 mi)
SUCCESS | Event query performed. Args: Lat: 40.744255. Lon: -73.986714. Radius: 10. Units: mi. API Calls: 15. Events Returned: 7500.
LocationSearch | Location search returned 7500 events.
addEventInfoByVenue | Kept 8/7500 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 8 observations. Time: 0:00:50.164558. apiCall:
LocationSearch | Pulled Full Event Information for New York (10 mi) on 2017-03-07. Time/apiCall: 0:37:47.840851. Mongo Collection Size: 45412
LocationSearch | 5/5 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001], [32.777647999999999, -117.176551], [32.746020999999999, -117.165925], [40.744254999999995, -73.986714000000006]]
SLEEP | Searched all locations for today. Sleeping for 6 hours... Start Time: 2017-03-07 04:30:46.104335
LocationSerch | Searching through locations: ['San Francisco / Oakland (25 mi)', 'Los Angeles (25 mi)', 'Orange Country (15 mi)', 'San Diego (15 mi)', 'New York (10 mi)']
WARNING | Location: 37.813552,-122.369772,25 already scraped on 2017-03-07. Skipping.
WARNING | Location: 34.042929,-118.25996,25 already scraped on 2017-03-07. Skipping.
WARNING | Location: 32.777648,-117.176551,15 already scraped on 2017-03-07. Skipping.
WARNING | Location: 32.746021,-117.165925,15 already scraped on 2017-03-07. Skipping.
WARNING | Location: 40.744255,-73.986714,10 already scraped on 2017-03-07. Skipping.
SLEEP | Searched all locations for today. Sleeping for 6 hours... Start Time: 2017-03-07 10:30:46.190118
LocationSerch | Searching through locations: ['San Francisco / Oakland (25 mi)', 'Los Angeles (25 mi)', 'Orange Country (15 mi)', 'San Diego (15 mi)', 'New York (10 mi)']
WARNING | Location: 37.813552,-122.369772,25 already scraped on 2017-03-07. Skipping.
WARNING | Location: 34.042929,-118.25996,25 already scraped on 2017-03-07. Skipping.
WARNING | Location: 32.777648,-117.176551,15 already scraped on 2017-03-07. Skipping.
WARNING | Location: 32.746021,-117.165925,15 already scraped on 2017-03-07. Skipping.
WARNING | Location: 40.744255,-73.986714,10 already scraped on 2017-03-07. Skipping.
SLEEP | Searched all locations for today. Sleeping for 6 hours... Start Time: 2017-03-07 16:30:46.282278
LocationSerch | Searching through locations: ['San Francisco / Oakland (25 mi)', 'Los Angeles (25 mi)', 'Orange Country (15 mi)', 'San Diego (15 mi)', 'New York (10 mi)', 'Santa Barbara (15 mi)']
WARNING | Location: 37.813552,-122.369772,25 already scraped on 2017-03-07. Skipping.
WARNING | Location: 34.042929,-118.25996,25 already scraped on 2017-03-07. Skipping.
WARNING | Location: 32.777648,-117.176551,15 already scraped on 2017-03-07. Skipping.
WARNING | Location: 32.746021,-117.165925,15 already scraped on 2017-03-07. Skipping.
WARNING | Location: 40.744255,-73.986714,10 already scraped on 2017-03-07. Skipping.
LocationSearch | Searching for events around lat:34.438243, lon:-119.74662, radius:15, name:Santa Barbara (15 mi)
LocationSearch | Location search returned 91 events.
addEventInfoByVenue | Kept 21/91 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 21 observations. Time: 0:02:13.399738. apiCall:
LocationSearch | Pulled Full Event Information for Santa Barbara (15 mi) on 2017-03-07. Time/apiCall: 0:42:47.682107. Mongo Collection Size: 45433
LocationSearch | 6/6 lat, long corrdinates searched today: [[37.813552000000001, -122.369772], [34.042929000000001, -118.25996000000001], [32.777647999999999, -117.176551], [32.746020999999999, -117.165925], [40.744254999999995, -73.986714000000006], [34.438243, -119.74661999999999]]
SLEEP | Searched all locations for today. Sleeping for 6 hours... Start Time: 2017-03-07 22:33:00.767927
LocationSerch | Searching through locations: ['San Francisco / Oakland (25 mi)', 'Los Angeles (25 mi)', 'Orange Country (15 mi)', 'San Diego (15 mi)', 'New York (10 mi)', 'Santa Barbara (15 mi)']
LocationSearch | Searching for events around lat:37.813552, lon:-122.369772, radius:25, name:San Francisco / Oakland (25 mi)
SUCCESS | Event query performed. Args: Lat: 37.813552. Lon: -122.369772. Radius: 25. Units: mi. API Calls: 4. Events Returned: 1882.
LocationSearch | Location search returned 1882 events.
addEventInfoByVenue | Kept 915/1882 event observations after venueId filtering.
addEventInfoByVenue | Completed Full Event Info pull for 915 observations. Time: 1:36:11.149311. apiCall:
LocationSearch | Pulled Full Event Information for San Francisco / Oakland (25 mi) on 2017-03-08. Time/apiCall: 0:44:08.023187. Mongo Collection Size: 46348
LocationSearch | 1/6 lat, long corrdinates searched today: [[37.813552000000001, -122.369772]]
LocationSearch | Searching for events around lat:34.042929, lon:-118.25996, radius:25, name:Los Angeles (25 mi)
SUCCESS | Event query performed. Args: Lat: 34.042929. Lon: -118.25996. Radius: 25. Units: mi. API Calls: 6. Events Returned: 2924.
LocationSearch | Location search returned 2924 events.
addEventInfoByVenue | Kept 777/2924 event observations after venueId filtering.
